Dataset/Target/Acoustic Harassment Devices/AHD_Airmar.wav,6.501587301587302,Stereo,44100
Dataset/Target/Tug/20171128c-28_190038.wav,330.0,Mono,32000
Dataset/Target/Tug/20171227a-66_110853.wav,644.0,Mono,32000
Dataset/Target/Tug/20171127a-24_105442.wav,1750.0,Mono,32000
Dataset/Target/Tug/20171210-49_49.wav,190.0,Mono,32000
Dataset/Target/Tug/20171104-1_200959.wav,636.0,Mono,32000
Dataset/Target/Tug/20171128-25_052238.wav,921.0,Mono,32000
Dataset/Target/Tug/20171205-44_145246.wav,400.0,Mono,32000
Dataset/Target/Tug/20171221-61_114923.wav,240.0,Mono,32000
Dataset/Target/Tug/20171230a-69_163503.wav,866.0,Mono,32000
Dataset/Target/Tug/20171202a-38_145149.wav,773.0,Mono,32000
Dataset/Target/Tug/20171116-10_065145.wav,534.0,Mono,32000
Dataset/Target/Tug/20171203a-40_40.wav,200.0,Mono,32000
Dataset/Target/Tug/20171128d-29_193239.wav,233.0,Mono,32000
Dataset/Target/Tug/20171201d-35_125826.wav,654.0,Mono,32000
Dataset/Target/Tug/20171107a-6_095309.wav,387.0,Mono,32000
Dataset/Target/Tug/20171215-54_005343.wav,674.0,Mono,32000
Dataset/Target/Tug/20171123-21_035104.wav,1199.0,Mono,32000
Dataset/Target/Tug/20171213a-52_071716.wav,860.0,Mono,32000
Dataset/Target/Tug/20171128a-26_103033.wav,497.0,Mono,32000
Dataset/Target/Tug/20171122a-20_124609.wav,718.0,Mono,32000
Dataset/Target/Tug/20171219a-60_210546.wav,786.0,Mono,32000
Dataset/Target/Tug/20171213-51_065742.wav,861.0,Mono,32000
Dataset/Target/Tug/20171204a-43_081356.wav,770.0,Mono,32000
Dataset/Target/Tug/20171129-30_011700.wav,576.0,Mono,32000
Dataset/Target/Tug/20171114-8_072235.wav,602.0,Mono,32000
Dataset/Target/Tug/20171105b-3_231504.wav,656.0,Mono,32000
Dataset/Target/Tug/20171231a-70_215301.wav,546.0,Mono,32000
Dataset/Target/Tug/20171209-48_041322.wav,573.0,Mono,32000
Dataset/Target/Tug/20171105-2_052000.wav,1147.0,Mono,32000
Dataset/Target/Tug/20171120-17_034014.wav,730.0,Mono,32000
Dataset/Target/Tug/20171118c-15_185844.wav,400.0,Mono,32000
Dataset/Target/Tug/20171207b-47_114556.wav,739.0,Mono,32000
Dataset/Target/Tug/20171118a-13_141340.wav,653.0,Mono,32000
Dataset/Target/Tug/20171204-42_034437.wav,310.0,Mono,32000
Dataset/Target/Tug/20171212a-50_094549.wav,348.0,Mono,32000
Dataset/Target/Tug/20171215e-56_170639.wav,263.0,Mono,32000
Dataset/Target/Tug/20171201e-36_190230.wav,662.0,Mono,32000
Dataset/Target/Tug/20171201-32_024235.wav,508.0,Mono,32000
Dataset/Target/Tug/20171207-45_004027.wav,326.0,Mono,32000
Dataset/Target/Tug/20171203c-41_194116.wav,614.0,Mono,32000
Dataset/Target/Tug/20171128b-27_120847.wav,516.0,Mono,32000
Dataset/Target/Tug/20171217-58_020446.wav,564.0,Mono,32000
Dataset/Target/Tug/20171124-22_012051.wav,630.0,Mono,32000
Dataset/Target/Tug/20171221a-62_144544.wav,460.0,Mono,32000
Dataset/Target/Tug/20171115-9_9.wav,203.0,Mono,32000
Dataset/Target/Tug/20171229a-67_195709.wav,370.0,Mono,32000
Dataset/Target/Tug/20171207a-46_052942.wav,350.0,Mono,32000
Dataset/Target/Tug/20171106-4_144640.wav,1032.0,Mono,32000
Dataset/Target/Tug/20171225-64_015934.wav,567.0,Mono,32000
Dataset/Target/Tug/20171116a-11_221717.wav,746.0,Mono,32000
Dataset/Target/Tug/20171121-19_101117.wav,1051.0,Mono,32000
Dataset/Target/Tug/20171106a-5_162112.wav,626.0,Mono,32000
Dataset/Target/Tug/20171215a-55_103412.wav,336.0,Mono,32000
Dataset/Target/Tug/20171120a-18_054508.wav,390.0,Mono,32000
Dataset/Target/Tug/20171214a-53_184639.wav,263.0,Mono,32000
Dataset/Target/Tug/20171118d-16_234607.wav,889.0,Mono,32000
Dataset/Target/Tug/20171202-37_071515.wav,357.0,Mono,32000
Dataset/Target/Tug/20171203-39_032822.wav,723.0,Mono,32000
Dataset/Target/Tug/20171201b-33_082249.wav,612.0,Mono,32000
Dataset/Target/Tug/20171130a-31_211648.wav,334.0,Mono,32000
Dataset/Target/Tug/20171217a-59_050224.wav,612.0,Mono,32000
Dataset/Target/Tug/20171118b-14_161506.wav,813.0,Mono,32000
Dataset/Target/Tug/20171201c-34_123228.wav,531.0,Mono,32000
Dataset/Target/Tug/20171111-7_025236.wav,389.0,Mono,32000
Dataset/Target/Tug/20171223b-63_233721.wav,267.0,Mono,32000
Dataset/Target/Tug/20171127-23_065148.wav,290.0,Mono,32000
Dataset/Target/Tug/20171229b-68_200347.wav,504.0,Mono,32000
Dataset/Target/Tug/20171226-65_043830.wav,417.0,Mono,32000
Dataset/Target/Tug/20171118-12_082934.wav,931.0,Mono,32000
Dataset/Target/Cargo/20171205g-73_124454.wav,439.0,Mono,32000
Dataset/Target/Cargo/20171122a-35_060651.wav,303.0,Mono,32000
Dataset/Target/Cargo/20171104a-2_2.wav,440.0,Mono,32000
Dataset/Target/Cargo/20171205i-75_202122.wav,221.0,Mono,32000
Dataset/Target/Cargo/20171125-44_44.wav,200.0,Mono,32000
Dataset/Target/Cargo/20171117a-24_045829.wav,300.0,Mono,32000
Dataset/Target/Cargo/20171111-8_8.wav,279.0,Mono,32000
Dataset/Target/Cargo/20171111e-9_9.wav,300.0,Mono,32000
Dataset/Target/Cargo/20171121e-33_202039.wav,347.0,Mono,32000
Dataset/Target/Cargo/20171213d-97_154210.wav,276.0,Mono,32000
Dataset/Target/Cargo/Cargo-Ship-at-20-knts.wav,10.518639455782314,Stereo,44100
Dataset/Target/Cargo/20171215c-109_141018.wav,667.0,Mono,32000
Dataset/Target/Cargo/20171210-88_004442.wav,538.0,Mono,32000
Dataset/Target/Cargo/20171119b-29_151043.wav,339.0,Mono,32000
Dataset/Target/Cargo/20171124d-43_161634.wav,351.0,Mono,32000
Dataset/Target/Cargo/20171215b-108_114505.wav,360.0,Mono,32000
